sha256,sha1,md5,dex_date,apk_size,pkg_name,vercode,vt_detection,vt_scan_date,dex_size,markets
BBAC9B6929262BBE50E1D3A9910B60BEF44BBEBBF8A287E6D4F5309C23765DEE,5A3243B63B56780B731090C1C77EEC3C7BF0FA59,2793b2668208c3514d68b8cfb7cfd962,2015-04-10 11:06:40,521307,jdi.lovestory.eng.app,1,0,2015-12-27 09:32:28,693744,play.google.com
BBACB62039EDF98DECDBB0579E0833EC8A14793D01E9F62B703B26EFCBD5A68D,A7BFEDFDB31465EAC4792727BE3DE3BEB555483E,645aa2587d0db6feafa1a21e06c80d43,2015-02-09 17:33:00,17455001,com.game.ragdollmanandroidedition,50007,0,2015-08-24 03:39:00,1697408,play.google.com
BBAD429D73DA4A17B1A40F30325C0D63485ED02DF0C67126DC1A5107C21D97C1,55C1178C69EAF6AD6A185B206756E6315D87FF0D,73898141a7e8ede544b1e8780cb9c8cb,2015-01-14 12:31:30,4309556,com.nttsolmare.game.android.msef,2626,0,2016-02-22 01:02:49,4155512,play.google.com
BBAE5F8EC892BE2FDCDD80EB3C440A5869BC63ACF104AE10A0BF2A42050AEC1E,CF85B8AF072244D23E70FAF2AF74C68F61907F09,da5b475dfd681f27dc8609fdbeb2a327,2013-10-07 16:58:40,2459364,com.seeunomore.fieryOctx,2,0,2015-10-18 12:17:23,1244312,play.google.com|PlayDrone
BBAEDD91538F20B6BC3E653EF11438B1CAE0CF13E809827863D13440B406FAED,5A59F6929EF82BB3910909E0F850CB41844C5093,fe82bfc7069d4c11db9f39f4b29d03f4,2015-11-27 16:06:34,16104039,pl.agora.mojedziecko,12245,0,2016-02-22 01:03:17,8953456,play.google.com
BBAEF4842CBEE59DDEE065F54281CD42EF1BC03F9E0E628A866F1F12204E8A53,56FDEE83543796960EDC1E6475DFAC91B27EA738,1dc02b25f4a9f4403cfb13275d20873a,2015-08-05 08:26:18,19261365,ua.kyivstar.money,10206,0,2016-02-22 01:02:28,4597848,play.google.com
BBB22BE01EB5D4256C380986E711775B20EA4A90C55406C3C6127CC7BC3A8615,C3B05E03F26EB58AC2044EA11BA634DC4F28DF9E,0725bf1a7120eda282c6cf8b4872108e,2015-05-14 12:01:00,2742107,com.hovig.bluemixparticleonoff,1,0,2015-10-03 15:42:39,5850984,play.google.com
BBB29B0824B85D7C172F4C07E1E932F3A721E7069640E3D033D735EBC4333C87,69C43B889D2238055FA1646E205BFBAE86A0E71C,a081fa294f8988b1896a33c0468c62e2,2014-12-06 08:27:24,3580066,com.mobincube.android.sc_JSH3I,5,0,2015-09-03 16:13:35,3280152,play.google.com
BBB58916537C9238C1AA1C80F4965CECDE7EC520CC41CFB9122B39A15416CB87,F4218501C8AE328B97250F526CCDC8C0323CAA3D,53523d5fba72bc7b982c194919d4d1cb,2014-11-30 11:27:46,17076286,com.HayastanMegerdichian.MyLittleMathematician,35,0,2016-02-11 17:36:21,5720072,play.google.com
BBB63DF5440B52C7802BC1D2044E82E10F6F7825D02E59128E5481BB28A7E9EC,400E0F4F58E2343A3F91A904DFEB9F327BFCF87C,c532680bb18b1c0f9048b4be117350e4,2015-05-12 16:39:52,36771758,com.beansprites.hiddenobjectghosthalloween,3,0,2016-07-28 08:10:55,2241232,play.google.com
